SN,Buying Price (Long),Timestamp,Selling Price (Long),Timestamp,P/L,Selling Price (Short),Timestamp,Buying Price (Short),Timestamp,P/L
1,2946032,1/25/2019 9:22:08.000000000 AM,2945170,1/25/2019 9:22:44.000000000 AM,-436,2949245,1/25/2019 9:16:04.000000000 AM,2945367,1/25/2019 9:21:34.000000000 AM,1934
2,2945312,1/25/2019 9:26:24.000000000 AM,2944637,1/25/2019 9:29:02.000000000 AM,-342.5,2945012,1/25/2019 9:22:44.000000000 AM,2945312,1/25/2019 9:26:24.000000000 AM,-155
3,2945702,1/25/2019 9:30:08.000000000 AM,2945777,1/25/2019 9:33:40.000000000 AM,32.5,2944665,1/25/2019 9:29:02.000000000 AM,2945702,1/25/2019 9:30:08.000000000 AM,-523.5
4,2943920,1/25/2019 9:39:06.000000000 AM,2943355,1/25/2019 9:45:10.000000000 AM,-287.5,2945740,1/25/2019 9:33:40.000000000 AM,2943920,1/25/2019 9:39:06.000000000 AM,905
5,2944745,1/25/2019 9:46:44.000000000 AM,2944922,1/25/2019 9:48:26.000000000 AM,83.5,2943355,1/25/2019 9:45:10.000000000 AM,2944745,1/25/2019 9:46:44.000000000 AM,-700
6,2945642,1/25/2019 9:52:04.000000000 AM,2945010,1/25/2019 9:52:42.000000000 AM,-321,2944955,1/25/2019 9:48:26.000000000 AM,2945642,1/25/2019 9:52:04.000000000 AM,-348.5
7,2945107,1/25/2019 9:56:20.000000000 AM,2947195,1/25/2019 10:02:58.000000000 AM,1039,2945010,1/25/2019 9:52:42.000000000 AM,2945107,1/25/2019 9:56:20.000000000 AM,-53.5
8,2947982,1/25/2019 10:04:48.000000000 AM,2948250,1/25/2019 10:08:16.000000000 AM,129,2947132,1/25/2019 10:02:58.000000000 AM,2947982,1/25/2019 10:04:48.000000000 AM,-430
9,2946347,1/25/2019 10:11:38.000000000 AM,2945642,1/25/2019 10:11:56.000000000 AM,-357.5,2948092,1/25/2019 10:08:16.000000000 AM,2946347,1/25/2019 10:11:38.000000000 AM,867.5
10,2946405,1/25/2019 10:13:16.000000000 AM,2947600,1/25/2019 10:16:44.000000000 AM,592.5,2945695,1/25/2019 10:11:56.000000000 AM,2946405,1/25/2019 10:13:16.000000000 AM,-360
11,2948455,1/25/2019 10:17:08.000000000 AM,2947800,1/25/2019 10:20:42.000000000 AM,-332.5,2947435,1/25/2019 10:16:44.000000000 AM,2948455,1/25/2019 10:17:08.000000000 AM,-515
12,2949587,1/25/2019 10:22:50.000000000 AM,2948297,1/25/2019 10:25:32.000000000 AM,-650,2947757,1/25/2019 10:20:42.000000000 AM,2949587,1/25/2019 10:22:50.000000000 AM,-920
13,2946837,1/25/2019 10:30:04.000000000 AM,2945670,1/25/2019 10:30:24.000000000 AM,-588.5,2948300,1/25/2019 10:25:32.000000000 AM,2946837,1/25/2019 10:30:04.000000000 AM,726.5
14,2946740,1/25/2019 10:32:14.000000000 AM,2947567,1/25/2019 10:41:10.000000000 AM,408.5,2945777,1/25/2019 10:30:24.000000000 AM,2946740,1/25/2019 10:32:14.000000000 AM,-486.5
15,2948575,1/25/2019 10:44:30.000000000 AM,2948592,1/25/2019 10:46:52.000000000 AM,3.5,2947567,1/25/2019 10:41:10.000000000 AM,2948575,1/25/2019 10:44:30.000000000 AM,-509
16,2947395,1/25/2019 10:53:06.000000000 AM,2947790,1/25/2019 10:57:02.000000000 AM,192.5,2948592,1/25/2019 10:46:52.000000000 AM,2947395,1/25/2019 10:53:06.000000000 AM,593.5
17,2948047,1/25/2019 10:59:22.000000000 AM,2947490,1/25/2019 11:00:14.000000000 AM,-283.5,2947790,1/25/2019 10:57:02.000000000 AM,2948047,1/25/2019 10:59:22.000000000 AM,-133.5
18,2947260,1/25/2019 11:03:02.000000000 AM,2947197,1/25/2019 11:05:30.000000000 AM,-36.5,2947490,1/25/2019 11:00:14.000000000 AM,2947260,1/25/2019 11:03:02.000000000 AM,110
19,2946150,1/25/2019 11:12:14.000000000 AM,2945465,1/25/2019 11:12:58.000000000 AM,-347.5,2947227,1/25/2019 11:05:30.000000000 AM,2946150,1/25/2019 11:12:14.000000000 AM,533.5
20,2944585,1/25/2019 11:17:02.000000000 AM,2944482,1/25/2019 11:20:46.000000000 AM,-56.5,2945360,1/25/2019 11:12:58.000000000 AM,2944585,1/25/2019 11:17:02.000000000 AM,382.5
21,2944867,1/25/2019 11:21:12.000000000 AM,2944620,1/25/2019 11:22:46.000000000 AM,-128.5,2944482,1/25/2019 11:20:46.000000000 AM,2944867,1/25/2019 11:21:12.000000000 AM,-197.5
22,2943775,1/25/2019 11:28:54.000000000 AM,2944347,1/25/2019 11:34:14.000000000 AM,281,2944622,1/25/2019 11:22:46.000000000 AM,2943775,1/25/2019 11:28:54.000000000 AM,418.5
23,2944097,1/25/2019 11:40:10.000000000 AM,2943585,1/25/2019 11:41:30.000000000 AM,-261,2944337,1/25/2019 11:34:14.000000000 AM,2944097,1/25/2019 11:40:10.000000000 AM,115
