TimeStamp,Close,High,Low,Open
1/25/2019 9:15:00.000000000 AM,2954445,2954445,2954250,2954250
1/25/2019 9:15:02.000000000 AM,2953837,2954050,2953837,2954050
1/25/2019 9:15:04.000000000 AM,2953047,2953637,2953047,2953637
1/25/2019 9:15:06.000000000 AM,2953092,2953092,2952845,2952845
1/25/2019 9:15:08.000000000 AM,2951847,2952695,2951847,2952695
1/25/2019 9:15:10.000000000 AM,2951295,2951847,2951295,2951847
1/25/2019 9:15:12.000000000 AM,2950545,2950850,2950545,2950850
1/25/2019 9:15:14.000000000 AM,2949955,2949955,2949955,2949955
1/25/2019 9:15:16.000000000 AM,2949397,2949765,2949397,2949765
1/25/2019 9:15:18.000000000 AM,2950097,2950097,2949627,2949627
1/25/2019 9:15:20.000000000 AM,2950002,2950245,2950002,2950245
1/25/2019 9:15:22.000000000 AM,2949980,2950000,2949980,2950000
1/25/2019 9:15:24.000000000 AM,2949277,2950240,2949277,2950240
1/25/2019 9:15:26.000000000 AM,2949037,2949165,2949037,2949165
1/25/2019 9:15:28.000000000 AM,2949022,2949055,2949022,2949055
1/25/2019 9:15:30.000000000 AM,2949250,2949250,2949022,2949022
1/25/2019 9:15:32.000000000 AM,2948307,2949250,2948307,2949250
1/25/2019 9:15:34.000000000 AM,2948747,2948747,2948252,2948252
1/25/2019 9:15:36.000000000 AM,2948515,2948517,2948515,2948517
1/25/2019 9:15:38.000000000 AM,2949047,2949047,2948582,2948582
1/25/2019 9:15:40.000000000 AM,2949497,2949497,2949082,2949082
1/25/2019 9:15:42.000000000 AM,2949535,2949535,2949500,2949500
1/25/2019 9:15:44.000000000 AM,2950170,2950170,2949457,2949457
1/25/2019 9:15:46.000000000 AM,2949652,2950172,2949652,2950172
1/25/2019 9:15:48.000000000 AM,2949635,2949640,2949635,2949640
1/25/2019 9:15:50.000000000 AM,2949210,2949445,2949210,2949445
1/25/2019 9:15:52.000000000 AM,2949445,2949445,2949250,2949250
1/25/2019 9:15:54.000000000 AM,2949700,2949700,2949697,2949697
1/25/2019 9:15:56.000000000 AM,2949617,2949617,2949495,2949495
1/25/2019 9:15:58.000000000 AM,2949417,2949495,2949417,2949495
1/25/2019 9:16:00.000000000 AM,2949417,2949457,2949417,2949457
1/25/2019 9:16:02.000000000 AM,2949252,2949347,2949252,2949347
1/25/2019 9:16:04.000000000 AM,2949165,2949245,2949165,2949245
1/25/2019 9:16:06.000000000 AM,2948845,2949132,2948845,2949132
1/25/2019 9:16:08.000000000 AM,2948202,2948202,2948202,2948202
1/25/2019 9:16:10.000000000 AM,2947802,2948087,2947802,2948087
1/25/2019 9:16:12.000000000 AM,2947802,2947805,2947802,2947805
1/25/2019 9:16:14.000000000 AM,2947805,2947805,2947802,2947802
1/25/2019 9:16:16.000000000 AM,2947802,2947805,2947802,2947805
1/25/2019 9:16:18.000000000 AM,2947797,2947797,2947797,2947797
1/25/2019 9:16:20.000000000 AM,2947800,2947800,2947705,2947705
1/25/2019 9:16:22.000000000 AM,2947790,2947800,2947790,2947800
1/25/2019 9:16:24.000000000 AM,2947645,2947745,2947645,2947745
1/25/2019 9:16:26.000000000 AM,2947422,2947422,2947420,2947420
1/25/2019 9:16:28.000000000 AM,2947450,2947450,2947382,2947382
1/25/2019 9:16:30.000000000 AM,2947567,2947567,2947475,2947475
1/25/2019 9:16:32.000000000 AM,2946580,2946895,2946580,2946895
1/25/2019 9:16:34.000000000 AM,2946837,2946837,2946675,2946675
1/25/2019 9:16:36.000000000 AM,2946742,2946742,2946552,2946552
1/25/2019 9:16:38.000000000 AM,2946482,2946495,2946482,2946495
1/25/2019 9:16:40.000000000 AM,2946407,2946407,2946395,2946395
1/25/2019 9:16:42.000000000 AM,2946382,2946387,2946382,2946387
1/25/2019 9:16:44.000000000 AM,2946340,2946342,2946340,2946342
1/25/2019 9:16:46.000000000 AM,2946342,2946342,2946342,2946342
1/25/2019 9:16:48.000000000 AM,2946540,2946540,2946537,2946537
1/25/2019 9:16:50.000000000 AM,2946582,2946582,2946535,2946535
1/25/2019 9:16:52.000000000 AM,2946507,2946575,2946507,2946575
1/25/2019 9:16:54.000000000 AM,2946502,2946502,2946502,2946502
1/25/2019 9:16:56.000000000 AM,2946540,2946540,2946497,2946497
1/25/2019 9:16:58.000000000 AM,2946542,2946542,2946542,2946542
1/25/2019 9:17:00.000000000 AM,2946545,2946545,2946545,2946545
1/25/2019 9:17:02.000000000 AM,2946740,2947082,2946740,2947082
1/25/2019 9:17:04.000000000 AM,2946742,2946790,2946742,2946790
1/25/2019 9:17:06.000000000 AM,2946722,2946722,2946640,2946640
1/25/2019 9:17:08.000000000 AM,2946647,2946697,2946647,2946697
1/25/2019 9:17:10.000000000 AM,2946600,2946637,2946600,2946637
1/25/2019 9:17:12.000000000 AM,2946675,2946705,2946675,2946705
1/25/2019 9:17:14.000000000 AM,2946417,2946620,2946417,2946620
1/25/2019 9:17:16.000000000 AM,2946427,2946427,2946330,2946330
1/25/2019 9:17:18.000000000 AM,2946005,2946172,2946005,2946172
1/25/2019 9:17:20.000000000 AM,2945515,2945532,2945515,2945532
1/25/2019 9:17:22.000000000 AM,2945590,2945590,2945582,2945582
1/25/2019 9:17:24.000000000 AM,2945557,2945557,2945555,2945555
1/25/2019 9:17:26.000000000 AM,2945897,2945897,2945892,2945892
1/25/2019 9:17:28.000000000 AM,2945942,2945942,2945600,2945600
1/25/2019 9:17:30.000000000 AM,2946030,2946030,2946030,2946030
1/25/2019 9:17:32.000000000 AM,2946165,2946165,2946037,2946037
1/25/2019 9:17:34.000000000 AM,2945675,2945675,2945650,2945650
1/25/2019 9:17:36.000000000 AM,2945592,2945657,2945592,2945657
1/25/2019 9:17:38.000000000 AM,2945600,2945695,2945600,2945695
1/25/2019 9:17:40.000000000 AM,2945760,2945760,2945732,2945732
1/25/2019 9:17:42.000000000 AM,2945647,2945660,2945647,2945660
1/25/2019 9:17:44.000000000 AM,2945550,2945592,2945550,2945592
1/25/2019 9:17:46.000000000 AM,2945450,2945497,2945450,2945497
1/25/2019 9:17:48.000000000 AM,2945252,2945252,2945252,2945252
1/25/2019 9:17:50.000000000 AM,2945450,2945577,2945450,2945577
1/25/2019 9:17:52.000000000 AM,2945505,2945505,2945415,2945415
1/25/2019 9:17:54.000000000 AM,2945505,2945505,2945505,2945505
1/25/2019 9:17:56.000000000 AM,2945715,2945715,2945520,2945520
1/25/2019 9:17:58.000000000 AM,2945975,2945975,2945802,2945802
1/25/2019 9:18:00.000000000 AM,2946215,2946220,2946215,2946220
1/25/2019 9:18:02.000000000 AM,2946650,2946650,2946535,2946535
1/25/2019 9:18:04.000000000 AM,2946697,2946697,2946697,2946697
1/25/2019 9:18:06.000000000 AM,2946650,2946652,2946650,2946652
1/25/2019 9:18:08.000000000 AM,2946577,2946577,2946542,2946542
1/25/2019 9:18:10.000000000 AM,2946185,2946185,2946122,2946122
1/25/2019 9:18:12.000000000 AM,2946272,2946272,2946220,2946220
1/25/2019 9:18:14.000000000 AM,2946302,2946302,2946297,2946297
1/25/2019 9:18:16.000000000 AM,2946312,2946382,2946312,2946382
1/25/2019 9:18:18.000000000 AM,2946190,2946277,2946190,2946277
1/25/2019 9:18:20.000000000 AM,2946125,2946177,2946125,2946177
1/25/2019 9:18:22.000000000 AM,2945992,2946175,2945992,2946175
